Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble
Afghanistan,2004,0.67,"10,227",6,0.38,2,37,"In the name of Allah, the Most Beneficent, the Most Merciful Praise be to Allah, the Cherisher and Sustainer of Worlds; and Praise and Peace be upon Mohammad, His Last Messenger and his disciples and followers We the people of Afghanistan: Believing firmly in Almighty God, relying on His divine will and adhering to the Holy religion of Islam; Realizing the previous injustices, miseries and innumerable disasters which have befallen our country; Appreciating the sacrifices, historical struggles, jihad and just resistance of all the peoples of Afghanistan, admiring the supreme position of the martyrs of the country&#x27;s freedom; Comprehending that a united, indivisible Afghanistan belongs to all its tribes and peoples; Observing the United Nations Charter as well as the Universal Declaration of Human Rights; And in order to: Strengthen national unity, safeguard independence, national sovereignty and territorial integrity of the country; Establish an order based on the peoples&#x27; will and democracy; Form a civil society void of oppression, atrocity, discrimination as well as violence, based on rule of law, social justice, protecting integrity and human rights, and attaining peoples&#x27; freedoms and fundamental rights; Strengthen political, social, economic as well as defense institutions; Attain a prosperous life and sound living environment for all inhabitants of this land; And, eventually, regain Afghanistan&#x27;s appropriate place in the international family; Have, herein, approved this constitution in accordance with the historical, cultural and social realities as well as requirements of time through our elected representatives in the Loya Jirga, dated January 3, 2004, held in the city of Kabul."
Albania,1998,0.61,"13,826",5,0.43,5,77,"We, the people of Albania, proud and aware of our history, with responsibility for the future, and with faith in God and/or other universal values, with determination to build a state of law, social and democratic, to guarantee the fundamental human rights and freedoms, with a spirit of religious coexistence and tolerance, with a pledge to protect human dignity and personhood, as well as for the prosperity of the whole nation, for peace, well-being, culture and social solidarity, with the centuries-old aspiration of the Albanian people for national identity and unity, with a deep conviction that justice, peace, harmony and cooperation between nations are among the highest values of humanity, WE ESTABLISH THIS CONSTITUTION"
Algeria,1996,0.61,"10,038",7,0.29,1,36,"The Algerian people are a free people; and they are resolved to remain so. Stretching back over thousands of years, their history is marked by a progression of exertion and struggle that has turned Algeria into an everlasting seedbed of freedom and a land of glory and dignity. Ever since the Numidian era and the Islamic Conquest, and up until the wars of liberation against colonialism, Algeria has always known at the epic moments witnessed in the Mediterranean basin how to find amongst her children pioneers of freedom, unity and progress, as well as builders of prosperous democratic states throughout the epochs of grandeur and peace. The 1st November 1954 was a turning point in determining her future and a tremendous crowning of a ferocious resistance during which she withstood the diverse onslaughts on her culture and values, as well as the fundamental constituents of her identity, namely Islam, Arabism and Amazighism that the State has been relentlessly endeavouring to promote and develop each one of them; the roots of her current exertion in the various domains stretch back to the glorious past of her Nation. The Algerian people rallied round the national movement and subsequently the National Liberation Front, and made the ultimate sacrifice in order to assume their collective destiny under the banner of their recovered freedom and national cultural identity and to build their authentic people’s constitutional institutions. Under the leadership of the National Liberation Front and the National Liberation Army, the Algerian people crowned what their preeminent children made in terms of ultimate sacrifices during the people’s war of liberation with independence, and built a modern and fully sovereign state. The Algerian people were determined to achieve a host of momentous victories marked by the reclaiming of national riches and the making of a state devoted exclusively to serving the masses, thus strengthening the legitimacy of the state that exercises its powers in the service of national independence and free of any foreign pressure. The Algerian people’s resistance to violent attempts that threaten the unity and stability of the state has strengthened their adherence to the values of tolerance and peace. They decided, thanks to their unwavering belief and adherence to their unity, and in full sovereignty, to implement the Peace and National Reconciliation policy, which has yielded fruit that they are determined to preserve. The Algerian people shall be determined to keep Algeria immune from Fitna, violence and all forms of extremism, including hate speech and all forms of discrimination, by establishing their spiritual and civilisational values which call for dialogue, reconciliation and fraternity within the framework of respect for the Constitution and the laws of the Republic. The Algerian people express their eagerness to translate their aspirations in this Constitution to profound social transformations to build a new Algeria, which have been expressed peacefully since the launch of the popular movement on 22 February 2019, in full unity with its People’s National Army. The Algerian people have always been struggling for freedom and democracy and they are resolved to uphold their national sovereignty and independence. With this Constitution, they are determined to establish a host of institutions based on the participation of every single Algerian man and woman in conducting public affairs and the capacity to achieve social justice, equality and freedom for everyone within the framework of a democratic and republican state. The Constitution aspires to be the appropriate framework for strengthening national ties and guaranteeing democratic freedoms for citizens. Algeria expresses its commitment to work to prevent and combat corruption as enshrined in the African Union Convention on Preventing and Combating Corruption of 11 July 2003, the United Nations Convention against Corruption of 31 October 2003, and the Arab Convention to Fight Corruption of 21 December 2010. By approving this Constitution, which is the manifestation of their proper genius, the reflection of their aspirations, the fruit of their determination and the outcome of the profound social mutations they have occasioned, the Algerian people shall substantiate with full appreciation and resoluteness more than ever before the ascendancy of the law. The Constitution stands above all; it shall be the fundamental law safeguarding the individual and collective rights and freedoms. It shall protect the principle of the people’s freedom of choice, lend legitimacy to the exercise of powers and consecrate the democratic alternation of power through free and fair elections. The Constitution shall ensure the separation and balance of powers, the independence of the judiciary, legal protections, oversight of the work of public authorities, and legal security. The Algerian people express their complete commitment to human rights as specified in the Universal Declaration of Human Rights of 10 December 1948, the International Covenant on Economic, Social and Cultural Rights and the International Covenant on Civil and Political Rights (both issued on 16 December 1966), the African Charter on Human and Peoples’ Rights of 27 June 1981, and the Arab Charter on Human Rights of 23 May 2004. The Algerian people shall remain committed to their choices in order to restrain class differences and abolish all aspects of regional disparities. They shall work towards building a productive and competitive economy within the framework of sustainable development and environmental protection. The people remain concerned with environmental degradation and the negative effects of climate change, and they are eager to ensure protection of the natural environment and the rational use of natural resources in order to preserve them for future generations. In recognition of the enormous energy they represent, the participation of the youth of Algeria— with their aspirations and determination to rise to the political, economic, social, and cultural challenges—is necessary to build all this and to protect the interests of future generations and guarantee a quality education for them by the family and the school. The People’s National Army, successor of the National Liberation Army, shall assume its constitutional duties with utmost commitment and valiant preparedness to sacrifice whenever national duty demands. The Algerian people are proud of their National Army and grateful for all the efforts it has exhausted to protect the country from any foreign threat and for its quintessential role in protecting the citizens, institutions and properties from the plague of terrorism; those efforts have contributed to strengthening the nationalistic bond and consecrating the spirit of solidarity between the people and their army. The State shall attend to the professionalism of the People’s National Army and to its modernisation in the manner that enables it to acquire the requisite capabilities to preserve national independence, defend Algeria’s national sovereignty, her unity and territorial integrity and protect her land, sea and air boundaries. Armed with their deeply-ingrained spiritual values and loyal to their traditions of solidarity and justice, the people are confident in their ability to contribute effectively to the cultural, social and economic progress in the world of today and tomorrow. Algeria, land of Islam, an integral part of the Great Arab Maghreb and an Arab, Mediterranean and African country is proud of her radiant Revolution of November 1 and is honoured by the respect she has gained and known how to preserve owing to its commitment to all the just causes of the world. Committed to peace, human rights, and growth, Algeria’s foreign policy is directed toward strengthening its presence and influence on the international scene through partnerships based upon mutual interests that are totally concordant with Algeria’s political, economic, social and cultural national choices, with full respect for the goals and organizing principles of the UN, the African Union, and the Arab League. The pride of the Algerian people, their sacrifices, sense of responsibility and inveterate adherence to freedom and social justice reflect the optimum guarantees of their respect for the principles of this Constitution which they shall adopt and bequeath to the future generations, the successors of the pioneers of freedom and the founders of the free society. This  shall be part and parcel of this Constitution."
Andorra,1993,0.51,"8,740",6,0.19,3,51,"The Andorran People, with full liberty and independence, and in the exercise of their own sovereignty, Conscious of the need to conform the institutional structure of Andorra to the new circumstances brought about by the evolution of the geographical, historical and sociocultural environment in which it is situated, as well as of the need to regulate the relations which the institutions dating back to the Pareatges. shall have within this new legal framework, Resolved of the need to be endowed with all the mechanisms leading to juridical security in the exercise of the fundamental rights of the individual, which, although always present and respected in the nature of Andorran society, have not received the protection of any kind of general laws, Eager to use every endeavour to promote values such as liberty, justice, democracy and social progress, and to keep and strengthen the harmonious relations of Andorra with the rest of the world, and especially with the neighbouring countries, on the basis of mutual respect, co-existence and peace, Willing to bring their collaboration and effort to all the common causes of mankind, and especially to those of preserving the integrity of the Earth and guaranteeing an environment fit for life for the coming generations, Desiring that the motto &quot;virtus, unita, fortior&quot;, which has presided over the peaceful journey of Andorra over its more than seven hundred years of history, may continue to be a completely valid principle and may always guide the conduct of Andorrans, Approve the present Constitution, in the exercise of their sovereignty."
Angola,2010,0.8,"27,181",7,0.19,2,80,"We, the people of Angola, through its lawful representatives, the legislators of the nation, freely elected in the parliamentary elections of September 2008; Aware that these elections are part of the long tradition of the struggle of the Angolan people to achieve their citizenship and independence, proclaimed on 11 November 1975, the date on which the first Constitutional Law in the history of Angola came into force, and courageously preserved through collective sacrifice in the defence of national sovereignty and the territorial integrity of the country; Having received, by the said popular vote and under the provision contained in Article 158 of the Constitutional Law of 1992, the noble and irrefusable mandate to proceed with the drawing up and approval of the Constitution of the Republic of Angola; Conscious of the immense importance and great value invested in the creation and adoption of the first and fundamental law of the state and of Angolan society; Noting that the Constitution of the Republic of Angola is linked to, and a direct part of, the long and enduring struggle of the Angolan people, first to resist colonial occupation, then to achieve the independence and the dignity of a sovereign state, and later to build a democratic state based on the rule of law and a just society in Angola; Invoking the memory of our ancestors and calling upon the wisdom of the lessons of our shared history, our centuries-old roots and the cultures that have enriched our unity; Inspired by the best lessons in African tradition - the essence of Angolan culture and identity; Armed with a culture of tolerance and profoundly committed to reconciliation, equality, justice and development; Having decided to build a society based on equal opportunities, commitment, fraternity and unity in diversity; Determined to build together a just and progressive society that respects life, equality, diversity and human dignity; Remembering that the present Constitution represents the culmination of the constitutional transition initiated in 1991, following the passing of Law no. 12/91 by the Assembly of the People, enshrining multi-party democracy, guarantees of the fundamental rights and freedoms of citizens and a market economy, changes extended later by Constitutional Revision Law no 23/92; Reaffirming our commitment to the values and fundamental principles of the independence, sovereignty and the unity of a democratic state based on the rule of law, pluralism of political expression and organisation, the separation and balance between the powers of bodies that exercise sovereign power, the market economy and respect and guarantees for fundamental human rights and freedoms, which constitute the essential pillars supporting and structuring this Constitution; Aware that a Constitution such as this, due to its shared values, principles and norms, is an important factor in national unity and a powerful driving force for the development of the state and society; Solemnly striving to strictly fulfil and respect this Constitution and hoping that this may serve as a model for the behaviour of citizens, political forces and the whole of Angolan society; Invoking and paying homage to the memory of all our heroes and each and every Angola man and woman who lost their lives in the defence of the fatherland; Faithful to the deepest wishes of the Angolan people for stability, dignity, liberty, development and the building of a modern, prosperous, inclusive, democratic and just country; Committed to providing a legacy for future generations and to the exercise of our sovereignty; We hereby pass this Constitution as the Supreme and Fundamental Law of the Republic of Angola."
Antigua and Barbuda,1981,0.56,"38,464",3,0.14,0,39," WHEREAS the People of Antigua and Barbuda-proclaim that they are a sovereign nation founded upon principles that acknowledge the supremacy of God, the dignity and worth of the human person, the entitlement of all persons to the fundamental rights and freedoms of the individual, the position of the family in a society of free men and women and free institutions; respect the principles of social justice and, therefore, believe that the operation of their economic system should result in the material resources of their community being so distributed as to serve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity; assert their conviction that their happiness and prosperity can best be pursued in a democratic society in which all persons may, to the extent of their capacity, play some part in the national life; recognize that the law symbolises the public conscience, that every citizen owes to it an undivided allegiance not to be limited by any private views of justice or expediency and that the State is subject to the law; desire to establish a framework of supreme law within which to guarantee their inalienable human rights and freedoms, among them, the rights to liberty, property, security and legal redress of grievances, as well as freedom of speech, of the press and of assembly, subject only to the public interest: NOW, THEREFORE, the following provisions shall have effect as the Constitution of Antigua and Barbuda:-"
Argentina,1983,0.64,"12,514",3,0.43,6,51,"We, the representatives of the people of the Argentine Nation, assembled in General Constituent Congress by the will and election of the provinces which compose it, in fulfillment of pre-existing pacts, with the object of constituting the national union, ensuring justice, preserving domestic peace, providing for the common defense, promoting the general welfare, and securing the blessings of liberty to ourselves, to our posterity, and to all men in the world who wish to dwell on Argentine soil: invoking the protection of God, source of all reason and justice, do ordain, decree and establish this Constitution for the Argentine Nation."
Armenia,1995,0.66,"13,786",6,0.29,4,82,"The Armenian People, accepting as a basis the fundamental principles of Armenian statehood and pan-national aspirations enshrined in the Declaration on the Independence of Armenia, having fulfilled the sacred behest of its freedom-loving ancestors to restore the sovereign state, dedicated to the strengthening and prosperity of the fatherland, with the aim of ensuring the freedom, general well-being, and civic solidarity of the generations, and affirming its commitment to universal values, adopts the Constitution of the Republic of Armenia."
Australia,1901,0.43,"17,318",2,0.14,3,11,
Austria,1945,0.57,"41,366",3,0.43,1,15,
